epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,522.921,0.48025,0.48351,0.98631,0.96993,0.97407,0.98685,0.95447,0.28439,0.27623,0.82584,0.000456863,0.000456863,0.000456863
43,533.699,0.47802,0.48231,0.98701,0.9882,0.96533,0.98856,0.95745,0.2799,0.25971,0.82189,0.00044925,0.00044925,0.00044925
44,544.533,0.47288,0.47649,0.98405,0.96108,0.97318,0.98668,0.95405,0.27918,0.26205,0.81308,0.000441637,0.000441637,0.000441637
45,557.655,0.48602,0.48462,0.99216,0.95655,0.96046,0.98029,0.95366,0.2668,0.26006,0.81353,0.000434024,0.000434024,0.000434024
46,570.691,0.48052,0.4808,0.99236,0.97861,0.94248,0.97921,0.95057,0.27668,0.27106,0.82643,0.000426411,0.000426411,0.000426411
47,582.672,0.48067,0.45807,0.98696,0.95925,0.97654,0.97625,0.94371,0.28242,0.25906,0.8232,0.000418797,0.000418797,0.000418797
48,593.984,0.47309,0.45096,0.98837,0.94125,0.98146,0.98072,0.94828,0.28444,0.28099,0.81589,0.000411184,0.000411184,0.000411184
49,604.849,0.47046,0.4548,0.99135,0.97276,0.96853,0.98518,0.95891,0.26473,0.23737,0.81398,0.000403571,0.000403571,0.000403571
50,616.671,0.46773,0.45621,0.98137,0.97327,0.96989,0.98299,0.94979,0.26997,0.2553,0.81798,0.000395958,0.000395958,0.000395958
51,628.697,0.46493,0.45151,0.98568,0.97546,0.96964,0.98002,0.9506,0.26419,0.25319,0.81998,0.000388345,0.000388345,0.000388345
52,640.597,0.4579,0.44453,0.97994,0.97373,0.98222,0.98268,0.95949,0.26415,0.24391,0.81108,0.000380732,0.000380732,0.000380732
53,651.371,0.4477,0.44381,0.96927,0.9646,0.97778,0.98675,0.95876,0.26929,0.23853,0.81551,0.000373119,0.000373119,0.000373119
54,662.261,0.47128,0.46075,0.98371,0.9728,0.97597,0.98714,0.96654,0.26266,0.24705,0.81416,0.000365506,0.000365506,0.000365506
55,673.436,0.44742,0.43426,0.97229,0.95773,0.98025,0.98286,0.95979,0.26591,0.24308,0.81638,0.000357893,0.000357893,0.000357893
56,684.774,0.45494,0.43004,0.97249,0.96891,0.97654,0.98223,0.95762,0.27326,0.24318,0.8128,0.00035028,0.00035028,0.00035028
57,695.878,0.44732,0.4209,0.97624,0.98291,0.96582,0.98364,0.96012,0.26572,0.24653,0.81339,0.000342666,0.000342666,0.000342666
58,706.804,0.45986,0.43251,0.98879,0.96378,0.96857,0.99068,0.96872,0.26125,0.22176,0.81085,0.000335053,0.000335053,0.000335053
59,718.339,0.44103,0.41505,0.96755,0.9648,0.9737,0.99219,0.96948,0.25726,0.21952,0.81148,0.00032744,0.00032744,0.00032744
60,729.436,0.44823,0.41421,0.97333,0.97825,0.98044,0.98641,0.96408,0.25356,0.2308,0.80863,0.000319827,0.000319827,0.000319827
61,740.36,0.43768,0.41931,0.96681,0.94713,0.9821,0.98692,0.9645,0.24775,0.23136,0.80464,0.000312214,0.000312214,0.000312214
62,751.345,0.43441,0.4068,0.96477,0.94891,0.97988,0.98907,0.96981,0.24253,0.2263,0.80163,0.000304601,0.000304601,0.000304601
63,762.17,0.43135,0.39824,0.95908,0.96312,0.97437,0.9886,0.96365,0.24769,0.21369,0.80669,0.000296988,0.000296988,0.000296988
64,773.069,0.43536,0.41199,0.96412,0.94837,0.97753,0.98864,0.97003,0.23749,0.23375,0.79889,0.000289375,0.000289375,0.000289375
65,783.918,0.42653,0.40723,0.96148,0.97507,0.98484,0.9913,0.96578,0.24798,0.21724,0.80498,0.000281762,0.000281762,0.000281762
66,796.769,0.43357,0.4052,0.96757,0.96964,0.98182,0.97903,0.95741,0.2499,0.23687,0.807,0.000274148,0.000274148,0.000274148
67,809.495,0.43134,0.39567,0.96543,0.96817,0.99012,0.98618,0.96473,0.25695,0.2143,0.80752,0.000266535,0.000266535,0.000266535
68,821.62,0.42114,0.40154,0.95765,0.95994,0.98183,0.9862,0.96591,0.24109,0.21462,0.80167,0.000258922,0.000258922,0.000258922
69,832.514,0.41897,0.40294,0.95978,0.96776,0.9765,0.98348,0.96129,0.25992,0.22893,0.8086,0.000251309,0.000251309,0.000251309
70,843.712,0.41199,0.39129,0.95674,0.96951,0.97834,0.9902,0.96981,0.25937,0.21389,0.8057,0.000243696,0.000243696,0.000243696
71,855.905,0.41757,0.38561,0.96087,0.97042,0.98441,0.99069,0.96243,0.25728,0.21631,0.80308,0.000236083,0.000236083,0.000236083
72,867.959,0.41435,0.38532,0.95768,0.95553,0.99083,0.98426,0.96244,0.24837,0.2136,0.80085,0.00022847,0.00022847,0.00022847
73,879.516,0.41993,0.38774,0.95923,0.98208,0.9785,0.99299,0.97544,0.24762,0.20195,0.79865,0.000220857,0.000220857,0.000220857
74,890.386,0.41418,0.38476,0.95199,0.97221,0.97784,0.98059,0.96097,0.23876,0.20888,0.79949,0.000213244,0.000213244,0.000213244
75,901.196,0.41383,0.38523,0.95947,0.96927,0.97854,0.98758,0.96732,0.23844,0.21911,0.7968,0.000205631,0.000205631,0.000205631
76,912.204,0.40628,0.38287,0.9508,0.97,0.96584,0.97718,0.96067,0.22915,0.22415,0.79803,0.000198018,0.000198018,0.000198018
77,923.325,0.39237,0.36618,0.94019,0.95324,0.97691,0.99001,0.96657,0.24519,0.22517,0.80317,0.000190404,0.000190404,0.000190404
78,934.606,0.40738,0.37647,0.95771,0.96353,0.97297,0.98106,0.96133,0.242,0.2298,0.80272,0.000182791,0.000182791,0.000182791
79,945.81,0.41111,0.37735,0.95568,0.96593,0.96942,0.97741,0.95796,0.24394,0.22187,0.80353,0.000175178,0.000175178,0.000175178
80,956.957,0.40813,0.37346,0.94799,0.97054,0.97805,0.9837,0.96431,0.24517,0.20711,0.80228,0.000167565,0.000167565,0.000167565
81,968.057,0.40812,0.3735,0.95262,0.97008,0.9733,0.98531,0.96638,0.23829,0.21337,0.80377,0.000159952,0.000159952,0.000159952
82,978.941,0.40475,0.37344,0.9497,0.97068,0.976,0.98861,0.97127,0.22868,0.19869,0.79879,0.000152339,0.000152339,0.000152339
83,990.004,0.38787,0.36299,0.94547,0.96915,0.97387,0.98728,0.97234,0.23327,0.20182,0.79978,0.000144726,0.000144726,0.000144726
84,1000.9,0.38634,0.34872,0.94371,0.97138,0.97567,0.99159,0.97508,0.23094,0.19693,0.80158,0.000137113,0.000137113,0.000137113
85,1011.89,0.3934,0.35938,0.94878,0.97711,0.98395,0.99019,0.97553,0.2258,0.19907,0.79567,0.0001295,0.0001295,0.0001295
86,1022.73,0.39611,0.36045,0.9472,0.9659,0.9802,0.97807,0.95865,0.23584,0.20744,0.79642,0.000121887,0.000121887,0.000121887
87,1035.01,0.3954,0.35989,0.94777,0.97029,0.97692,0.98665,0.96888,0.22357,0.19989,0.79491,0.000114273,0.000114273,0.000114273
88,1047.84,0.38231,0.34912,0.93968,0.97079,0.97654,0.9787,0.96372,0.2197,0.20796,0.79377,0.00010666,0.00010666,0.00010666
89,1060.1,0.39502,0.34934,0.94378,0.96412,0.97983,0.9766,0.95652,0.22147,0.20976,0.79453,9.90472e-05,9.90472e-05,9.90472e-05
90,1070.8,0.37865,0.34544,0.93895,0.97136,0.97654,0.98386,0.96537,0.22882,0.20241,0.79564,9.14341e-05,9.14341e-05,9.14341e-05
91,1113.53,0.29096,0.24679,0.85597,0.97456,0.98025,0.97939,0.95662,0.25571,0.22512,0.80698,8.3821e-05,8.3821e-05,8.3821e-05
92,1124.63,0.28255,0.2347,0.84709,0.97845,0.97856,0.98223,0.96124,0.24643,0.2108,0.80396,7.62079e-05,7.62079e-05,7.62079e-05
93,1135.43,0.27454,0.2288,0.84639,0.97754,0.98395,0.98613,0.96491,0.23594,0.20343,0.79673,6.85948e-05,6.85948e-05,6.85948e-05
94,1146.31,0.27076,0.21926,0.83701,0.97361,0.98086,0.98906,0.96965,0.23964,0.19714,0.79844,6.09817e-05,6.09817e-05,6.09817e-05
95,1157.53,0.26646,0.21888,0.84538,0.96492,0.97755,0.98531,0.96573,0.243,0.20438,0.79784,5.33686e-05,5.33686e-05,5.33686e-05
96,1168.67,0.2631,0.21599,0.83267,0.97432,0.97923,0.98556,0.96687,0.23786,0.20923,0.79795,4.57555e-05,4.57555e-05,4.57555e-05
97,1179.97,0.26627,0.21218,0.83053,0.9739,0.97848,0.99043,0.97268,0.24033,0.19592,0.7998,3.81424e-05,3.81424e-05,3.81424e-05
98,1190.98,0.26181,0.20917,0.83355,0.97242,0.98033,0.98964,0.97356,0.23542,0.1976,0.79887,3.05293e-05,3.05293e-05,3.05293e-05
99,1202.31,0.2598,0.20587,0.83184,0.97263,0.9804,0.98889,0.97317,0.23517,0.20113,0.79724,2.29162e-05,2.29162e-05,2.29162e-05
100,1213.28,0.25275,0.19994,0.82189,0.97307,0.98048,0.98787,0.97399,0.23222,0.19598,0.79849,1.53031e-05,1.53031e-05,1.53031e-05
